"","id","nc","c1.x","c1.y","c2.x","c2.y","c3.x","c3.y","c4.x","c4.y","c5.x","c5.y","dc.km.1_2","dc.km.1_3","dc.km.1_4","dc.km.1_5","dc.km.2_3","dc.km.2_4","dc.km.2_5","dc.km.3_4","dc.km.3_5","dc.km.4_5","o.1_2","o.1_3","o.1_4","o.1_5","o.2_3","o.2_4","o.2_5","o.3_4","o.3_5","o.4_5","p.1_2","p.1_3","p.1_4","p.1_5","p.2_3","p.2_4","p.2_5","p.3_4","p.3_5","p.4_5","dur1.td","dur2.td","dur3.td","dur4.td","dur5.td"
"1","year1.B1035oe","5",716081.307791815,4809186.52397117,719044.148483126,4807208.74222573,721472.529618367,4809922.24609597,720452.416926481,4804729.47541117,717366.30926761,4803436.7000341,3.56230902571226,5.44119103028078,6.24274594495767,5.89166395002545,3.6414472661004,2.85131267073619,4.12837095335832,5.29202204161872,7.67615485054407,3.345942118105,0.000805590442674494,3.05825055099555e-05,0,1.79213486251712e-05,0.00268837280650828,0.00390406664639811,0.00134783785033475,8.07822016064195e-06,0,0.00322663645185219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3305555555556,50.6645833333333,62.0027777777778,46.0034722222222,67.8326388888889
"2","year1.B1044be","2",726952.569601139,4768616.20161072,671455.677927322,4768017.81330223,NA,NA,NA,NA,NA,NA,55.5001176036866,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.832638888889,242.832638888889,NA,NA,NA
"3","year1.B1064yw","3",690254.334724223,4788381.63962241,686686.418274481,4785030.66290927,689960.102323459,4792440.63478891,NA,NA,NA,NA,4.89480058065249,4.0696454965135,NA,NA,8.10090677082164,NA,NA,NA,NA,NA,0.0240015916520383,0.0111993498915833,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.990277777778,28.3319444444444,77.49375,NA,NA
"4","year1.B1065yw","2",679093.021206103,4791845.40262041,714297.95300105,4743677.45894309,NA,NA,NA,NA,NA,NA,59.6618640405081,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.500694444444,92.6673611111111,NA,NA,NA
"5","year1.B1066yw","3",703618.427174742,4772234.10439485,702179.890702735,4775443.50284054,701117.594946251,4771312.45515519,NA,NA,NA,NA,3.5170478479071,2.6652578029199,NA,NA,4.26544572733627,NA,NA,NA,NA,NA,0.00100841157771179,0.012789312198454,NA,NA,0.000279564130338695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.990972222222,55.0041666666667,37.33125,NA,NA
"6","year1.B1068yw","2",670400.670811866,4799339.19604814,668149.496752325,4787670.62482454,NA,NA,NA,NA,NA,NA,11.8837426363319,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000149618312730539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.667361111111,170.334722222222,NA,NA,NA
"7","year1.B1808gy","5",757322.42059183,4778673.34278605,756028.839667719,4776203.13429866,758518.289119402,4776860.37566405,759821.730434425,4778387.41628917,748636.579701538,4778415.35911128,2.78841918986506,2.17185435070876,2.51561198337689,8.68967131414749,2.57474751866349,4.37688338686826,7.71618079292961,2.00768830560996,10.0033071801405,11.1851856363097,0.00526648622396177,0.0225572323095373,0.00439945112296122,NA,0.0177567178275993,0,NA,0.00920650222782905,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,53.6604166666667,44.8347222222222,51.5013888888889,79.6652777777778,3.33333333333333
"8","year1.B1837gy","2",708759.992937726,4788152.6184039,712457.171036535,4790197.35363869,NA,NA,NA,NA,NA,NA,4.22493409116961,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144018648505078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.664583333333,132.667361111111,NA,NA,NA
"9","year1.B1840gy","3",699111.89909623,4774938.80759487,696961.66191145,4776259.73358411,699363.802976802,4778223.89256651,NA,NA,NA,NA,2.5235620499336,3.29472894726194,NA,NA,3.10293445080214,NA,NA,NA,NA,NA,0.0323562970199974,0.00216060650987815,NA,NA,0.00514644628110369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3416666666667,165.502777777778,47.9986111111111,NA,NA
"10","year1.B1997n","2",723113.997660987,4774697.86239349,721191.701636726,4749048.61117245,NA,NA,NA,NA,NA,NA,25.72118407471,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16523191098936e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.000694444444,36.3333333333333,NA,NA,NA
"11","year1.B2015we","2",736447.665487977,4817602.22948211,734120.046524692,4657130.2943071,NA,NA,NA,NA,NA,NA,160.488815151868,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.165972222222,108.667361111111,NA,NA,NA
"12","year1.B2030we","2",729767.825300261,4778843.53237943,724074.190034193,4781755.48835071,NA,NA,NA,NA,NA,NA,6.39507389493714,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000133468697555926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.000694444444,100.165277777778,NA,NA,NA
"13","year1.B2081gy","3",728899.44265588,4768772.28860463,730791.977711503,4770098.58291329,731286.82319303,4767300.41731073,NA,NA,NA,NA,2.31100530720982,2.8046373981262,NA,NA,2.84158455618579,NA,NA,NA,NA,NA,0.00927230062295363,0.000247554159527098,NA,NA,0.000785369080818171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3243055555556,103.328472222222,91.33125,NA,NA
"14","year1.B2095gy","2",709575.42629215,4792588.21751029,704678.837366061,4792667.13934262,NA,NA,NA,NA,NA,NA,4.89722490464888,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00956130526421716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.834027777778,206.500694444444,NA,NA,NA
"15","year1.B2104yw","4",732711.598522654,4766177.70888959,730293.349422525,4769897.10633215,728176.093735701,4767656.93886793,729327.886629007,4763786.27143172,NA,NA,4.43642266313909,4.77063150969613,4.14348636948433,NA,3.08238899413036,6.18663249158914,NA,4.03840231661205,NA,NA,0.000270591907709073,0.00348541093800881,0.00126981335378079,NA,0.00543325965157089,0,NA,0.00296789573500503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.0020833333333,61,109.667361111111,40.1701388888889,NA
"16","year1.B2117yw","2",722341.065282274,4766179.37826515,724745.047764192,4766899.25245993,NA,NA,NA,NA,NA,NA,2.50945225690581,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00827490402603305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.159027777778,101.501388888889,NA,NA,NA
"17","year1.B2118yw","2",724916.689495421,4776242.89856189,742704.911300403,4766284.61733881,NA,NA,NA,NA,NA,NA,20.3859804743608,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.166666666667,225.332638888889,NA,NA,NA
"18","year1.B2126pk","2",709944.738676768,4788892.13904213,716607.892366103,4790704.08830669,NA,NA,NA,NA,NA,NA,6.90512687972014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.834722222222,190.000694444444,NA,NA,NA
"19","year1.B2136pk","4",737348.053162065,4771725.87232299,737095.020457882,4773792.66829824,735245.203658281,4771166.54046687,737339.170806223,4769046.8239181,NA,NA,2.08222744979159,2.17596602933833,2.67906312953046,NA,3.21222190683244,4.75212039757716,NA,2.97957994754612,NA,NA,0.0115560460578919,0.0189649805242479,0.00085273920199931,NA,0.00135292361351852,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.333333333333,39.0006944444444,106.33125,20.83125,NA
"20","year1.B2140pk","2",750900.535311339,4783384.7951774,777415.653924253,4793517.48851167,NA,NA,NA,NA,NA,NA,28.3852600703844,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.999305555556,13.1659722222222,NA,NA,NA
"21","year1.B2999n","3",746027.834084774,4768962.22876214,743962.673244709,4773286.20811128,740628.780629637,4769839.04353346,NA,NA,NA,NA,4.79183542154192,5.46978814531628,NA,NA,4.79560044158928,NA,NA,NA,NA,NA,0.0053368576198064,0.0106045483333091,NA,NA,0.0086345228114914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.6715277777778,83.4965277777778,63.1659722222222,NA,NA
"22","year1.B3000bk","2",706706.731160861,4784170.85142566,733377.690336186,4805830.96531092,NA,NA,NA,NA,NA,NA,34.3584137709314,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37660389449317e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.167361111111,65.05,NA,NA,NA
"23","year1.B3010oe","3",668933.093135646,4793975.44164147,673061.677190875,4792117.08499607,672978.251752936,4799215.227573,NA,NA,NA,NA,4.52754853343174,6.61956681719169,NA,NA,7.09863281527113,NA,NA,NA,NA,NA,0.00155690031837929,0.000473270802197778,NA,NA,6.27254323491e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4979166666667,67.4972222222222,147.997222222222,NA,NA
"24","year1.B80665n","2",709523.851563456,4789434.04027826,715219.768625644,4790598.05634877,NA,NA,NA,NA,NA,NA,5.8136395305989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00415766089508399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.672916666667,46.4993055555556,NA,NA,NA
"25","year1.C1005w","5",731113.493730011,4774681.89623914,731580.411118082,4774962.39997452,731164.188930266,4775338.4562239,731863.188364911,4774576.25923283,730962.3303992,4777175.23995234,0.54469642264621,0.658514249594169,0.757100536717859,2.49792178114912,0.560944928072462,0.478610116603191,2.29753880108729,1.03418782763587,1.84784234490488,2.75068098018768,0.0230244609925919,0.0253439284007421,8.25245528975438e-05,NA,0.00697059353326246,0.00801372451425054,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,21.1173611111111,60.6229166666667,26.6965277777778,66.4243055555555,0.861111111111111
"26","year1.C1032oe","2",740852.456206642,4765350.08225076,701409.088171764,4765252.26359659,NA,NA,NA,NA,NA,NA,39.4434893287084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.75,319.125,NA,NA,NA
"27","year1.C1042be","2",741610.044337138,4764254.3172459,672312.941546958,4762395.45416644,NA,NA,NA,NA,NA,NA,69.322029882722,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.625,243.25,NA,NA,NA
"28","year1.C1047be","5",753456.946897659,4770113.52232484,750928.401731741,4767638.12955892,745658.848761876,4767848.28817672,749676.159686469,4770020.96842146,757652.082517395,4771517.39117668,3.53851805161928,8.12044458641831,3.78191990413883,4.42380047257453,5.27374204401856,2.69184531219415,7.76250951731332,4.56720116819348,12.5419285892888,8.11508632530836,0.000329960015465949,0,0.000707437908329041,0.00204484153626968,2.32103533805365e-05,0.000211196072691266,0,0.000305204347874638,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.373611111111,117.247916666667,43.5,27.7506944444444,27.0034722222222
"29","year1.C1048be","2",745266.107877266,4770470.81161904,739116.287263392,4775425.96014403,NA,NA,NA,NA,NA,NA,7.89770792619461,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.375,10.9993055555556,NA,NA,NA
"30","year1.C1062yw","2",743086.506548604,4764102.98996602,742020.798294364,4765156.93996724,NA,NA,NA,NA,NA,NA,1.49884778687235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0776220033635578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5020833333333,190.149305555556,NA,NA,NA
"31","year1.C1083g","2",748177.094951789,4776669.67470623,770497.414558584,4790988.55625795,NA,NA,NA,NA,NA,NA,26.518428238522,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.125,307.25,NA,NA,NA
"32","year1.C1087g","3",708772.782215979,4775072.25887056,710466.422276796,4780920.06028504,706187.493113648,4780445.82617928,NA,NA,NA,NA,6.08811941725883,5.96313217730319,NA,NA,4.30512865897247,NA,NA,NA,NA,NA,0,2.26401895137264e-05,NA,NA,0.000426906424246906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.0625,47.30625,25.8576388888889,NA,NA
"33","year1.C1239pk","2",725103.659162682,4760058.91420653,726074.482622904,4758292.32566305,NA,NA,NA,NA,NA,NA,2.01577113603177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00414809133635233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1972222222222,209.159027777778,NA,NA,NA
"34","year1.C1809gy","2",708722.163948157,4769667.08646745,702112.360479628,4778190.74528166,NA,NA,NA,NA,NA,NA,10.7862070012442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.791666666667,6.66666666666667,NA,NA,NA
"35","year1.C1813gy","3",738750.61635466,4770521.15101746,772519.976127623,4803869.80330292,722336.426078989,4856289.76334653,NA,NA,NA,NA,47.4605338015903,87.3251424462623,NA,NA,72.5688700921953,NA,NA,NA,NA,NA,8.49577704036373e-05,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0006944444444,49.875,127.999305555556,NA,NA
"36","year1.C1815gy","2",728460.174000597,4779620.12147267,717863.640022059,4775433.27592392,NA,NA,NA,NA,NA,NA,11.3936915882202,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.709027777778,102.874305555556,NA,NA,NA
"37","year1.C1816gy","2",750598.201776145,4760120.90471674,740800.866573307,4748786.02536828,NA,NA,NA,NA,NA,NA,14.982231706952,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.291666666667,235.499305555556,NA,NA,NA
"38","year1.C1822gy","2",692872.06269057,4764978.12399561,696399.150452111,4777054.7771218,NA,NA,NA,NA,NA,NA,12.5811723940146,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.250694444444,260.126388888889,NA,NA,NA
